time;temperature_mean;relativehumidity_mean
2022-09-02;20,69;66
2022-09-03;22,12;58
2022-09-04;22,82;66
2022-09-05;23,65;63
2022-09-06;25,1;53
2022-09-07;25,67;54
2022-09-08;25,56;61
2022-09-09;24,08;57
2022-09-10;22,41;64
2022-09-11;21,52;66
2022-09-12;22,04;53
2022-09-13;23,88;47
2022-09-14;25,65;52
2022-09-15;25,44;56
2022-09-16;24,47;58
2022-09-17;14,74;81
2022-09-18;15,41;48
2022-09-19;17,23;43
2022-09-20;17,39;55
2022-09-21;16,29;60
2022-09-22;14,03;64
2022-09-23;15,13;57
2022-09-24;18,19;50
2022-09-25;17,75;73
2022-09-26;17,7;77
2022-09-27;18,09;59
2022-09-28;18,49;61
2022-09-29;18,92;61
2022-09-30;17,69;76
2022-10-01;17,35;63
2022-10-02;20,46;64
2022-10-03;17,6;70
2022-10-04;16,97;69
2022-10-05;18,38;65
2022-10-06;19,39;61
2022-10-07;19,03;63
2022-10-08;20,08;63
2022-10-09;18,95;75
2022-10-10;18,23;82
2022-10-11;17,58;78
2022-10-12;17,49;66
2022-10-13;17,54;69
2022-10-14;17,13;59
2022-10-15;17,93;59
2022-10-16;18,85;66
2022-10-17;19,15;67
2022-10-18;20,13;60
2022-10-19;19,06;63
2022-10-20;18,08;58
2022-10-21;20,13;53
2022-10-22;21,3;54
2022-10-23;20,38;69
2022-10-24;20,58;55
2022-10-25;19,18;68
2022-10-26;18,6;68
2022-10-27;19,07;70
2022-10-28;18,7;69
2022-10-29;19,41;51
2022-10-30;20,15;46
2022-10-31;19,71;44
2022-11-01;18,92;44
2022-11-02;17,46;59
2022-11-03;16,22;68
2022-11-04;17,25;59
2022-11-05;11,05;64
2022-11-06;10,32;61
2022-11-07;12,17;54
2022-11-08;13,38;62
2022-11-09;14,63;73
2022-11-10;14,27;78
2022-11-11;14,42;76
2022-11-12;13,51;68
2022-11-13;12,19;79
2022-11-14;11,91;82
2022-11-15;11,19;77
2022-11-16;12,07;86
2022-11-17;13,37;77
2022-11-18;13,99;72
2022-11-19;11,42;81
2022-11-20;9,28;85
2022-11-21;9,54;69
2022-11-22;9,24;86
2022-11-23;8,35;71
2022-11-24;8,69;63
2022-11-25;10,15;63
2022-11-26;10,82;79
2022-11-27;7,7;82
2022-11-28;7,97;82
2022-11-29;8,57;84
2022-11-30;6,61;78
2022-12-01;6,54;75
2022-12-02;7,52;81
2022-12-03;9,18;89
2022-12-04;12,95;80
2022-12-05;13,24;71
2022-12-06;9,09;86
2022-12-07;8,01;84
2022-12-08;8,1;82
2022-12-09;9,04;86
2022-12-10;5,4;93
2022-12-11;5,47;92
2022-12-12;3,07;82
2022-12-13;4,36;80
2022-12-14;2,82;84
2022-12-15;5,93;86
2022-12-16;6,82;90
2022-12-17;6,57;87
2022-12-18;6,19;88
2022-12-19;5,76;83
2022-12-20;8,48;79
2022-12-21;8,87;80
2022-12-22;8,71;93
2022-12-23;9,62;85
2022-12-24;9,34;94
2022-12-25;10,68;92
2022-12-26;11,12;87
2022-12-27;10,42;82
2022-12-28;10,29;92
2022-12-29;10,69;74
2022-12-30;12,55;75
2022-12-31;9,85;93
